id,year,label
8,1980,[50-100)
8,1981,[100-150)
8,1983,[100-150)
8,1984,[100-150)
8,1985,[150-200)
8,1986,[150-200)
8,1987,[150-200)
8,1988,[200-250)
8,1989,[200-250)
8,1990,greater than 250
8,1991,greater than 250
8,1992,greater than 250
8,1993,greater than 250
8,1994,greater than 250
8,1995,greater than 250
8,1996,greater than 250
8,1997,greater than 250
8,1998,greater than 250
8,1999,greater than 250
8,2000,greater than 250
8,2001,greater than 250
8,2002,greater than 250
8,2003,greater than 250
8,2004,greater than 250
8,2005,greater than 250
8,2006,greater than 250
8,2007,greater than 250
8,2008,greater than 250
8,2009,greater than 250
8,2010,greater than 250
8,2011,greater than 250
8,2012,greater than 250
8,2013,greater than 250
8,2014,greater than 250
8,2015,greater than 250
8,2016,greater than 250
8,2017,greater than 250
8,2018,greater than 250
8,2019,greater than 250
801,1970,[150-200)
801,1971,greater than 250
801,1972,greater than 250
801,1973,greater than 250
801,1974,greater than 250
801,1975,greater than 250
801,1976,greater than 250
801,1977,greater than 250
801,1978,greater than 250
801,1979,greater than 250
801,1980,greater than 250
801,1981,greater than 250
801,1982,greater than 250
801,1983,greater than 250
801,1984,greater than 250
801,1985,greater than 250
801,1986,greater than 250
801,1987,greater than 250
801,1988,greater than 250
801,1989,greater than 250
801,1990,greater than 250
801,1991,greater than 250
801,1992,greater than 250
801,1993,greater than 250
801,1994,greater than 250
801,1995,greater than 250
801,1996,greater than 250
801,1997,greater than 250
801,1998,greater than 250
801,1999,greater than 250
801,2000,greater than 250
801,2001,greater than 250
801,2002,greater than 250
801,2003,greater than 250
801,2004,greater than 250
801,2005,greater than 250
801,2006,greater than 250
801,2007,greater than 250
801,2008,greater than 250
801,2009,greater than 250
801,2010,greater than 250
801,2011,greater than 250
801,2012,greater than 250
801,2013,greater than 250
801,2014,greater than 250
801,2015,greater than 250
801,2016,greater than 250
801,2017,greater than 250
801,2018,greater than 250
801,2019,greater than 250
801,2020,[0-50)
802,1966,[100-150)
802,1967,[100-150)
802,1968,[150-200)
802,1969,[100-150)
802,1970,[100-150)
802,1971,[200-250)
802,1972,greater than 250
802,1973,greater than 250
802,1974,greater than 250
802,1975,greater than 250
802,1976,greater than 250
802,1977,greater than 250
802,1978,greater than 250
802,1979,greater than 250
802,1980,greater than 250
802,1981,greater than 250
802,1982,greater than 250
802,1983,greater than 250
802,1984,greater than 250
802,1985,greater than 250
802,1986,greater than 250
802,1987,greater than 250
802,1988,greater than 250
802,1989,greater than 250
802,1990,greater than 250
802,1991,greater than 250
802,1992,greater than 250
802,1993,greater than 250
802,1994,greater than 250
802,1995,greater than 250
802,1996,greater than 250
802,1997,greater than 250
802,1998,greater than 250
802,1999,greater than 250
802,2000,greater than 250
802,2001,greater than 250
802,2002,greater than 250
802,2003,greater than 250
802,2004,greater than 250
802,2005,greater than 250
802,2006,greater than 250
802,2007,greater than 250
802,2008,greater than 250
802,2009,greater than 250
802,2010,greater than 250
802,2011,greater than 250
802,2012,greater than 250
802,2013,greater than 250
802,2014,greater than 250
802,2015,greater than 250
802,2016,greater than 250
802,2017,greater than 250
802,2018,greater than 250
802,2019,greater than 250
803,1969,[0-50)
803,1971,[0-50)
803,1972,[50-100)
803,1973,[100-150)
803,1974,[100-150)
803,1975,[150-200)
803,1976,greater than 250
803,1977,[150-200)
803,1978,greater than 250
803,1979,greater than 250
803,1980,greater than 250
803,1981,greater than 250
803,1982,[200-250)
803,1983,greater than 250
803,1984,greater than 250
803,1985,greater than 250
803,1986,greater than 250
803,1987,greater than 250
803,1988,greater than 250
803,1989,greater than 250
803,1990,greater than 250
803,1991,greater than 250
803,1992,greater than 250
803,1993,greater than 250
803,1994,greater than 250
803,1995,greater than 250
803,1996,greater than 250
803,1997,greater than 250
803,1998,greater than 250
803,1999,greater than 250
803,2000,greater than 250
803,2001,greater than 250
803,2002,greater than 250
803,2003,greater than 250
803,2004,greater than 250
803,2005,greater than 250
803,2006,greater than 250
803,2007,greater than 250
803,2008,greater than 250
803,2009,greater than 250
803,2010,greater than 250
803,2011,greater than 250
803,2012,greater than 250
803,2013,greater than 250
803,2014,greater than 250
803,2015,greater than 250
803,2016,greater than 250
803,2017,greater than 250
803,2018,greater than 250
803,2019,greater than 250
804,1970,[0-50)
804,1971,[0-50)
804,1972,[0-50)
804,1974,[0-50)
804,1975,[100-150)
804,1976,[50-100)
804,1977,[100-150)
804,1978,[150-200)
804,1979,[100-150)
804,1980,[150-200)
804,1981,[200-250)
804,1982,[150-200)
804,1983,greater than 250
